ㄱ,주소
서운고등학교,인천광역시 계양구 아나지로 481(서운동)
가정고등학교,인천광역시 서구 서달로 162(석남동)
가림고등학교,인천광역시 서구 원적로 58(가좌동)
인천예일고등학교,인천광역시 계양구 박촌로 23(방축동)
인천논현고등학교,인천광역시 남동구 청능대로611번길 54. 인천논현고등학교 (논현동)
인천상정고등학교,인천광역시 부평구 경원대로 1109(십정동)
인천세원고등학교,인천광역시 계양구 장제로 966(병방동.인천세원고등학교)
강화고등학교,인천광역시 강화군 강화읍 고비고개로 20(강화읍)
강화여자고등학교,인천광역시 강화군 강화읍 송악길 58(강화읍)
검단고등학교,인천광역시 서구 검단로540번길 7(마전동)
계산고등학교,인천광역시 계양구 주부토로 588(계산동.계산고등학교)
계산여자고등학교,인천광역시 계양구 계산새로 131(용종동)
교동고등학교,인천광역시 강화군 교동면 교동남로 77(교동면. 교동중고등학교)
동인천고등학교,인천광역시 남동구 만수로75번길 71-15(만수동.동인천고등학교)
인천아라고등학교,인천광역시 서구 서로2로 62(당하동. 인천아라고등학교)
백석고등학교,인천광역시 서구 서곶로 701(백석동)
부개여자고등학교,인천광역시 부평구 부흥로 433(부개동)
부광고등학교,인천광역시 부평구 화랑로 28(산곡동)
부광여자고등학교,인천광역시 부평구 충선로 143(부개동)
계양고등학교,인천광역시 계양구 계양문화로 177계양고등학교
부평여자고등학교,인천광역시 부평구 부흥로243번길 44(부평동)
인제고등학교,인천광역시 남동구 석산로197번길 19. 인제고등학교 (간석동)
석정여자고등학교,인천광역시 남동구 방축로469번길 27(간석동. 석정여자고등학교)
인천중산고등학교,인천광역시 중구 은하수로 142(중산동. 인천중산고등학교)
부평고등학교,인천광역시 부평구 부흥북로 43(부평동)
인명여자고등학교,인천광역시 미추홀구 문화로 11(관교동)
삼산고등학교,인천광역시 부평구 영성중로 54(삼산동. 삼산고등학교)
인화여자고등학교,인천광역시 미추홀구 석정로 165. 인화여자고등학교 (도화동)
서도고등학교,인천광역시 강화군 서도면 주문도길 173(서도면)
인천송천고등학교,인천광역시 남동구 앵고개로815번길 59(논현동)
인천초은고등학교,인천광역시 서구 청라에메랄드로 42(연희동. 초은고등학교)
인천청라고등학교,인천광역시 서구 담지로86번길 16-14(연희동.청라고등학교)
인천하늘고등학교,인천광역시 중구 영종대로277번길 117. 인천하늘고등학교 (운서동)
인천연송고등학교,인천광역시 연수구 컨벤시아대로42번길 72(송도동)
인천영종고등학교,인천광역시 중구 영종대로278번길 34(운서동)
인천해원고등학교,인천광역시 서구 청라사파이어로140번길 25(청라동. 인천해원고등학교)
인천포스코고등학교,인천광역시 연수구 컨벤시아대로42번길 50(송도동)
선인고등학교,인천광역시 미추홀구 석정로 165(도화동)
연수고등학교,인천광역시 연수구 원인재로 145(연수동)
연수여자고등학교,인천광역시 연수구 먼우금로141번길 9(동춘동)
백령고등학교,인천광역시 옹진군 백령면 백령로 708(백령면)
인천고등학교,인천광역시 미추홀구 경원대로 804(주안동. 인천고등학교)
인천공항고등학교,인천광역시 중구 신도시북로 20(운서동)
인천남고등학교,인천광역시 남동구 석정로551번길 41(간석동)
인천여자고등학교,인천광역시 연수구 비류대로506번길 14(연수동) 인천여자고등학교
제물포고등학교,인천광역시 중구 자유공원로 58-9(전동)
학익고등학교,인천광역시 미추홀구 한나루로 358번길 23-22(학익동)
학익여자고등학교,인천광역시 미추홀구 주승로52번길 8(학익동. 학익여자고등학교)
인천해송고등학교,인천광역시 연수구 해송로 20(송도동)
인천고잔고등학교,인천광역시 남동구 에코중앙로 117. 인천고잔고등학교 (논현동. 고잔고등학교)
인천효성고등학교,인천광역시 계양구 새벌로171번길 21(효성동)
인천영선고등학교,인천광역시 부평구 체육관로 179(삼산동)
인천원당고등학교,인천광역시 서구 고산로40번길 30(원당동)
광성고등학교,인천광역시 중구 참외전로244번길 47(도원동)
산마을고등학교,인천광역시 강화군 양도면 강화남로1002번길 73-29. 산마을고등학교 (양도면)
인천대건고등학교,인천광역시 연수구 능허대로 437(동춘동. 인천대건고등학교)
대인고등학교,인천광역시 서구 서곶로 446(공촌동)
덕신고등학교,인천광역시 강화군 강화읍 고비고개로 45(강화읍. 덕신고등학교)
동산고등학교,인천광역시 동구 동산로 58. 동산고등학교 (송림동)
인일여자고등학교,인천광역시 중구 참외전로72번길 10(전동)
명신여자고등학교,인천광역시 부평구 원적로 260(산곡동.명신여자고등학교)
인천산곡고등학교,인천광역시 부평구 원적로416번길 25(산곡동)
문일여자고등학교,인천광역시 남동구 구월로372번길 56(만수동)
박문여자고등학교,인천광역시 연수구 송도과학로51번길 16(송도동. 박문여자고등학교)
서인천고등학교,인천광역시 서구 서곶로 475(검암동)
인천마전고등학교,인천광역시 서구 마전로 74(마전동. 인천마전고등학교)
세일고등학교,인천광역시 부평구 원적로 245(산곡동)
송도고등학교,인천광역시 연수구 독배로 91(옥련동)
숭덕여자고등학교,인천광역시 남동구 만수로73번길 20-23(만수동. 숭덕여자고등학교)
신명여자고등학교,인천광역시 남동구 용천로205번길 42. 신명여자고등학교 (간석동)
인성여자고등학교,인천광역시 중구 홍예문로 39(송학동2가)
인하대학교사범대학부속고등학교,인천광역시 미추홀구 재넘이길123번길 29. 인하대학교사범대학부속중고등학교 (학익동. 인하사범대부속중고등학교)
제일고등학교,인천광역시 부평구 경인로759번길 28(십정동)
인항고등학교,인천광역시 미추홀구 매소홀로 135(용현동. 인항고등학교)
안남고등학교,인천광역시 계양구 아나지로308번길 9(작전동)
작전고등학교,인천광역시 계양구 봉오대로729번길 27(작전동)
작전여자고등학교,인천광역시 계양구 주부토로426번길 15작전여자고등학교(작전동 92)
옥련여자고등학교,인천광역시 연수구 옥골로 77(옥련동. 옥련여자고등학교)
가좌고등학교,인천광역시 서구 장고개로287번길 24(가좌동)
부개고등학교,인천광역시 부평구 수변로57번길 36(부개동.부개고등학교)
도림고등학교,인천광역시 남동구 서창남로 8(서창동)
인천부흥고등학교,인천광역시 부평구 수변로57번길 61(부개동)
신송고등학교,인천광역시 연수구 신송로6번길 56(송도동) 신송고등학교
인천만수고등학교,인천광역시 남동구 장승로 91(만수동. 만수고등학교)
인천신현고등학교,인천광역시 서구 염곡로 399(신현동)
인천남동고등학교,인천광역시 남동구 은봉로 283. 인천남동고등학교 (논현동)
인천체육고등학교,인천광역시 서구 로봇랜드로 473(청라동. 인천체육고등학교)
인천과학고등학교,인천광역시 중구 영종대로277번길 74-37(운서동)
인천진산과학고등학교,인천광역시 부평구 굴포로 194-9(삼산동)
인천예술고등학교,인천광역시 남동구 구월로115번길 36(간석동)
미추홀외국어고등학교,인천광역시 남동구 에코중앙로 130(논현동)
인천외국어고등학교,인천광역시 부평구 원적로 262. 인천외국어고등학교 (산곡동)
인천국제고등학교,인천광역시 중구 영종대로277번길 74-40(운서동)
인평자동차고등학교,인천광역시 부평구 화랑로 111. 인평자동차정보고등학교 (산곡동)
